Word,PC1,PC2,PC3,PC4,PC5
explore,-0.004989,0.008561,-0.018140,0.009975,0.018945
exploring,-0.003987,0.001105,-0.006304,-0.002648,-0.005015
extended,-0.004784,0.000550,-0.010726,-0.013226,0.011830
external,0.001999,0.004774,-0.019202,-0.000076,0.005247
external states,0.005366,0.000141,-0.007707,-0.005097,-0.003063
eye,-0.005817,0.005274,-0.010732,-0.003061,0.010245
factor,-0.001895,0.000685,-0.004319,0.013211,0.003962
factors,-0.003496,0.006715,-0.013028,-0.003165,0.005052
features,-0.002522,0.005808,-0.016344,0.005937,0.010239
feedback,-0.006316,0.002358,-0.011307,0.003868,-0.005740
fep,0.052335,-0.013919,-0.080824,-0.048705,0.152614
field,0.001009,0.011689,-0.021591,-0.009730,0.004135
fields,-0.001075,0.005746,-0.011086,0.003045,0.000633
finally,-0.004609,0.005184,-0.021529,0.012200,0.025519
findings,-0.004917,0.008918,-0.018774,0.002994,0.007016
flexible,-0.004279,0.002471,-0.009504,0.016422,0.011512
flow,0.001049,0.009423,-0.003486,-0.021115,0.006697
focus,-0.001120,0.006876,-0.018168,-0.002112,0.018161
following,-0.003595,-0.000020,-0.007369,0.005286,0.002946
form,-0.001719,0.001040,-0.014521,0.005901,0.026757
formal,-0.001360,0.000396,-0.015103,-0.016630,0.026777
formation,-0.001423,0.000419,-0.008601,0.003682,0.002680
forms,-0.001144,0.004114,-0.012790,-0.006790,0.002256
formulation,0.005260,-0.011160,-0.007240,0.023030,0.033192
formulations,0.004040,-0.003032,0.001063,0.005275,0.022569
forward,-0.004525,0.003055,-0.005281,0.003556,-0.001404
foundation,0.000243,0.005080,-0.011029,-0.008694,0.007569
framework,-0.025125,0.003252,-0.064097,0.011847,0.128787
frameworks,-0.003072,0.006614,-0.016819,-0.007828,0.026338
free,0.402487,-0.262028,0.075879,0.086107,0.079164
free energy,0.359752,-0.274485,0.026413,0.088106,0.153093
friston,0.016496,-0.013653,-0.018329,-0.060967,-0.013381
fully,-0.002932,-0.001172,-0.005223,0.012206,0.013464
function,0.005844,0.007739,-0.019581,0.014955,0.031037
functional,0.003313,0.011805,-0.022601,0.000014,0.012188
functions,-0.001341,0.003807,-0.016359,-0.001130,0.028809
fundamental,-0.000635,0.006688,-0.020415,-0.002525,0.023804
furthermore,-0.006245,0.005166,-0.015083,0.014197,0.014940
future,-0.002221,0.028705,0.001651,0.021549,0.057584
future research,0.000119,0.003988,-0.008326,-0.006407,0.010670
gain,-0.000948,0.005770,-0.001925,0.027946,0.018306
gaussian,-0.004022,0.001533,-0.000380,0.013380,-0.015860
general,0.001395,0.000730,-0.020964,0.002773,0.020484
generalization,-0.002238,0.002528,-0.008495,0.026447,-0.008382
generalized,0.005308,-0.004087,-0.004514,0.010635,-0.001810
generally,0.002119,0.001161,-0.005018,0.003690,0.000872
generate,0.003627,0.004427,-0.010305,0.003777,0.010425
generated,-0.001872,0.005627,-0.011795,0.003799,0.006367
generating,-0.002716,0.006777,-0.002528,-0.007247,0.006750
generation,0.001560,0.030100,0.022308,-0.005101,-0.017938
generative,-0.023600,-0.009191,-0.038126,0.076024,0.123269
generative model,-0.009547,-0.000602,-0.022104,0.057718,0.062717
generative models,-0.014900,-0.009372,-0.014213,0.023111,0.069885
geometry,0.000782,-0.000271,-0.005360,-0.004197,-0.001656
given,0.000896,0.008543,-0.014856,0.017294,0.002808
global,0.003589,0.022092,-0.000493,-0.022996,0.005504
goal,-0.013242,0.005706,-0.018575,0.075390,0.019819
goal directed,-0.010169,0.001225,-0.007690,0.048413,0.008454
goals,-0.007844,0.002214,-0.010276,0.015591,0.014277
good,0.004932,-0.000566,-0.005112,-0.001840,-0.005646
gradient,0.004241,0.000564,-0.007651,0.016774,0.005880
graph,-0.003294,0.000820,-0.000199,0.021717,0.003254
grounded,0.000716,0.004689,-0.016172,0.000304,0.025084
group,-0.004236,0.005836,-0.011303,0.005736,-0.004335
gt,0.001469,0.004782,0.001277,-0.003990,-0.015648
guide,0.000047,-0.000588,-0.008172,-0.005365,0.010887
h4,-0.002812,0.015955,-0.018552,-0.003491,-0.000744
hand,-0.001150,0.002832,-0.008955,0.004413,0.007343
health,-0.002424,0.016779,-0.012596,-0.020566,0.003602
healthy,-0.002540,0.006198,-0.007223,-0.002525,-0.002704
help,0.000603,0.000849,-0.008402,-0.006718,0.008535
hidden,-0.003322,0.000054,-0.010120,0.026841,0.023732
hierarchical,-0.019815,-0.013494,-0.028564,0.013431,0.024752
hierarchy,-0.003727,0.002679,-0.009004,0.005737,-0.000148
high,-0.000819,0.037576,0.030971,0.031690,0.036702
high level,-0.003131,0.004652,-0.010808,0.005891,0.014918
higher,0.000149,0.007279,-0.014663,0.004299,0.009169
highlight,-0.000517,-0.001117,-0.008248,0.007794,0.014346
highly,-0.000991,0.003005,-0.008154,0.003487,-0.005984
homeostasis,0.003578,-0.000216,-0.009848,-0.005522,0.016675
human,-0.007888,-0.000119,-0.058568,0.042708,0.002449
human brain,0.000847,0.006108,-0.014858,-0.005076,0.003858
humans,-0.002471,0.008916,-0.018718,0.020013,0.005421
hybrid,-0.007819,0.001401,0.005763,0.012957,-0.003488
hypotheses,-0.004210,0.003736,-0.011595,-0.006063,0.016648
hypothesis,-0.002111,0.008332,-0.022301,-0.015891,0.019942
idea,0.000922,0.003633,-0.013636,-0.000299,0.020474
ideas,0.003321,-0.000335,-0.011291,-0.009465,0.023356
identify,0.000247,0.004536,-0.009534,0.003525,0.001469
ii,0.000232,-0.002650,-0.005515,0.000972,-0.007649
illustrate,-0.004509,0.001489,-0.010674,0.022176,0.031441
image,0.010426,-0.002747,-0.009144,0.021946,-0.126708
image quality,0.014728,-0.005584,-0.003289,0.008174,-0.090757
images,0.003475,-0.000128,-0.003693,0.006481,-0.020349
impact,0.001228,0.014640,-0.002108,-0.007109,-0.004783
implement,-0.003258,-0.000811,-0.005115,0.009051,0.016182
implementation,-0.002750,-0.002570,-0.008620,0.006038,0.006818
implemented,0.000818,-0.001588,-0.009104,0.002281,0.016087
implications,0.003597,0.005517,-0.017452,-0.018031,0.031965
implicit,-0.002681,-0.003381,-0.005478,-0.005074,0.008886
importance,0.001034,0.006492,-0.002087,-0.000674,0.011070
important,-0.001261,0.007111,-0.016255,0.009544,0.005937
improve,-0.003017,0.005338,-0.007920,0.010809,-0.005765
include,-0.002785,0.001695,-0.007296,0.002433,0.008772
including,-0.002201,0.013877,-0.027008,0.003620,0.017547
incorporating,-0.001252,0.002363,-0.006663,0.012298,0.003822
increase,-0.001686,0.004730,-0.005575,0.000314,0.000524
increased,-0.001004,0.006003,-0.008623,-0.000357,0.000940
increasing,-0.002105,0.005803,-0.008199,0.001178,0.001395
