Rank,Word,Total Importance Score,PC1 Loading,PC2 Loading,PC3 Loading,PC4 Loading,PC5 Loading
161,proposed,0.090941,-0.001736,0.006063,-0.026012,0.048028,0.009102
162,energy minimization,0.090229,0.016552,-0.010277,-0.002910,0.024797,0.035694
163,assessment,0.089150,0.009671,0.001130,0.000460,0.005324,-0.072565
164,inference framework,0.088811,-0.023433,-0.005841,-0.012731,0.010245,0.036561
165,object,0.088638,-0.007097,0.002345,-0.013248,0.057745,-0.008203
166,demonstrate,0.087939,-0.009101,0.003983,-0.016691,0.051166,0.006998
167,disorders,0.087588,-0.006235,0.019812,-0.028637,-0.021978,0.010926
168,terms,0.087485,0.003342,-0.003209,-0.023204,-0.000301,0.057430
169,minimizing,0.086856,0.002887,0.001014,-0.003658,0.034449,0.044849
170,work,0.086666,-0.003310,0.005261,-0.027607,0.023095,0.027392
171,policy,0.085263,-0.008403,0.001165,-0.004778,0.060516,0.010400
172,estimation,0.084999,0.015160,-0.004524,0.005088,0.038317,-0.021909
173,explain,0.084594,0.002040,0.005863,-0.028477,-0.009123,0.039091
174,provide,0.084017,-0.003386,0.013147,-0.032698,0.006041,0.028746
175,different,0.083768,-0.002757,0.013020,-0.026999,0.021298,0.019694
176,curiosity,0.083672,-0.001000,0.010055,-0.011550,0.051623,-0.009444
177,directed,0.083562,-0.010994,0.002266,-0.009858,0.051882,0.008562
178,error,0.082982,-0.001928,0.013572,-0.028145,-0.001802,0.037534
179,learn,0.082648,-0.005329,0.003222,-0.013383,0.055329,0.005384
180,unifying,0.082141,0.002374,0.001241,-0.018725,-0.022724,0.037077
181,resource,0.082020,-0.010483,0.003928,0.006354,0.022506,-0.038749
182,perception action,0.081814,-0.004468,-0.008986,-0.011558,0.018372,0.038429
183,provides,0.081803,-0.004739,0.006278,-0.027224,0.007981,0.035581
184,principle active,0.081284,0.010794,-0.026823,0.001721,-0.035219,-0.006727
185,space,0.081097,-0.005726,0.004133,-0.015432,0.047046,0.008761
